geoname;latitud;longitud
3427383;-3.462.077;-585.224
3427384;-2.506.225;-5.854.183
3427385;-3.459.097;-5.852.773
3427386;-3.371.381;-5.865.844
3427387;-3.457.973;-5.846.829
3427388;-2.848.752;-5.935.515
3427389;-3.491.902;-5.840.982
3427390;-325.258;-5.893.459
3427391;-2.906.323;-5.860.969
3427392;-3.616.846;-5.800.809
3427393;-3.602.857;-5.848.154
3427394;-3.567.502;-5.843.456
3427395;-3.505.752;-5.814.983
3427396;-2.719.231;-5.552.572
3427397;-3.462.364;-5.858.135
3427398;-3.478.015;-5.835.755
3427399;-3.166.565;-5.990.182
3427400;-3.808.333;-5.966.667
3427401;-2.929.243;-5.898.408
3427402;-27.8;-58.2
3427403;-252.023;-5.877.114
3427404;-3.239.727;-5.874.596
3427405;-3.469.053;-5.850.118
3427406;-3.465.946;-5.858.332
3427407;-3.463.814;-5.850.273
3427408;-3.467.907;-5.847.263
3427409;-2.745.668;-5.585.944
3427410;-3.311.667;-5.876.667
3427411;-345.835;-5.856.727
3427412;-3.412.405;-5.943.104
3427413;-346.359;-5.870.186
3427414;-3.461.358;-586.803
3427415;-2.761.667;-5.726.667
3427416;-3.466.667;-5.851.667
3427417;-3.467.083;-5.851.105
3427418;-3.451.623;-5.874.919
3427419;-3.483.333;-5.843.333
3427420;-3.123.097;-5.998.464
3427421;-2.748.713;-5.509.515
3427422;-2.824.258;-5.945.444
3427423;-3.170.889;-5.889.602
3427424;-3.170.207;-588.922
3427425;-31.9;-5.901.667
3427426;-3.158.333;-59
3427427;-3.192.969;-5.909.586
3427428;-318.653;-5.902.689
3427429;-31.35;-5.846.667
3427430;-3.480.336;-582.095
3427431;-3.726.394;-5.697.304
3427433;-3.461.039;-5.847.173
3427434;-3.499.082;-5.785.672
3427435;-3.476.225;-5.837.983
3427436;-3.090.167;-5.883.763
3427437;-2.914.283;-5.687.591
3427438;-3.477.449;-5.820.338
3427439;-2.662.209;-5.867.134
3427440;-2.936.425;-568.294
3427441;-3.478.397;-5.846.941
3427442;-3.485.228;-5.808.285
3427443;-321.632;-5.840.082
3427444;-3.767.616;-5.939.569
3427445;-347.585;-5.824.544
3427446;-346.918;-5.832.401
3427447;-3.468.953;-5.831.963
3427448;-2.739.974;-5.590.204
3427449;-3.468.189;-5.843.297
3427450;-3.459.556;-5.851.047
3427451;-3.460.064;-5.851.231
3427452;-3.369.363;-5.964.242
3427453;-345.108;-5.868.059
3427454;-3.079.567;-5.791.257
3427455;-3.460.057;-5.848.871
3427456;-3.461.969;-5.853.733
3427457;-3.469.289;-583.408
3427458;-3.460.001;-5.844.735
3427459;-2.802.715;-5.605.691
3427460;-28.993;-5.907.781
3427461;-35;-5.901.667
3427462;-3.672.582;-5.669.768
3427463;-3.458.572;-5.857.705
3427464;-3.463.377;-5.859.176
3427465;-3.470.276;-583.315
3427466;-3.473.853;-5.837.292
3427467;-3.454.531;-5.855.919
3427468;-3.475.172;-5.824.495
3427469;-2.901.667;-5.908.333
3427470;-346.796;-5.851.445
3427471;-2.993.333;-58.35
3427472;-2.849.082;-5.961.319
3427473;-3.452.647;-5.874.656
3427474;-3.466.701;-5.840.753
3427475;-3.461.261;-5.855.047
3427476;-2.616.667;-54.5
3427477;-2.926.667;-5.913.333
3427478;-3.452.975;-585.476
3427479;-3.584.569;-5.903.417
3427480;-325.754;-5.816.915
3427481;-30.3;-5.786.667
3427482;-3.526.686;-5.757.424
3427483;-255.101;-593.982
3427484;-3.797.095;-5.802.256
3427485;-3.524.911;-578.816
3427486;-3.239.309;-5.893.194
3427487;-3.796.667;-5.801.667
3427488;-3.747.884;-5.779.303
3427489;-3.573.333;-58.35
3427490;-3.533.333;-57.7
3427491;-3.044.461;-5.817.511
3427492;-2.894.793;-5.669.556
3427493;-3.473.333;-57.5
3427494;-3.574.041;-5.750.867
3427495;-3.694.873;-5.995.509
