geoname;latitud;longitud
3436349;-3.813.333;-5.766.667
3436350;-2.736.803;-5.877.387
3436351;-3.753.426;-5.752.668
3436352;-3.500.783;-5.938.953
3436353;-3.682.308;-5.871.274
3436354;-3.751.898;-5.958.365
3436355;-252.723;-5.862.337
3436356;-280.005;-564.134
3436357;-2.914.436;-5.948.183
3436358;-285.088;-5.992.362
3436359;-2.820.262;-5.944.371
3436360;-3.459.715;-5.852.033
3436361;-29.1;-5.678.333
3436362;-2.827.869;-5.902.057
3436363;-37.45;-5.983.333
3436364;-2.772.867;-5.605.087
3436365;-2.747.317;-5.603.915
3436366;-3.784.414;-5.836.388
3436367;-2.963.333;-5.873.333
3436368;-3.012.985;-580.797
3436369;-3.785.969;-5.996.998
3436370;-2.909.683;-5.655.043
3436371;-29.05;-5.653.333
3436372;-3.532.157;-5.744.279
3436373;-3.563.775;-5.962.951
3436374;-3.416.667;-5.916.667
3436375;-2.856.667;-5.963.333
3436376;-3.552.307;-5.911.688
3436377;-27.25;-5.866.667
3436378;-2.562.423;-598.534
3436379;-3.452.007;-5.875.355
3436380;-3.208.753;-5.917.407
3436381;-3.207.369;-5.918.745
3436382;-3.208.839;-590.988
3436383;-3.536.204;-5.815.164
3436384;-346.666;-5.936.915
3436385;-3.743.553;-5.936.852
3436386;-2.736.751;-5.611.974
3436387;-2.866.866;-5.809.105
3436388;-3.390.897;-5.938.866
3436389;-2.522.564;-5.904.131
3436390;-3.741.667;-5.721.667
3436391;-37.4;-57.2
3436392;-2.494.356;-5.962.183
3436393;-3.603.789;-5.778.996
3436394;-3.483.333;-5.833.333
3436395;-3.466.667;-58.45
3436396;-3.479.721;-5.838.351
3436397;-3.460.926;-5.842.006
3436398;-2.750.825;-5.540.258
3436399;-3.504.727;-5.833.511
3436400;-34.6;-5.908.333
3436401;-38.3;-58.7
3436402;-2.613.333;-5.813.333
3436403;-2.516.884;-5.782.282
3436404;-2.893.073;-5.748.004
3436405;-2.511.151;-5.818.566
3436406;-2.876.808;-5.774.046
3436407;-2.771.014;-5.778.145
3436408;-2.895.948;-5.817.091
3436409;-339.271;-585.475
3436410;-2.917.479;-5.743.696
3436411;-309.132;-5.801.651
3436412;-3.497.765;-5.867.552
3436413;-3.498.085;-5.837.371
3436414;-3.498.244;-5.837.543
3436415;-2.990.937;-5.982.795
3436416;-2.887.066;-5.770.467
3436417;-2.860.538;-5.668.585
3436418;-26.3;-5.383.333
3436419;-2.644.297;-5.414.085
3436420;-26.3;-5.428.333
3436421;-2.516.557;-5.819.751
3436422;-2.465.144;-5.942.682
3436423;-2.753.384;-5.479.019
3436424;-2.732.462;-5.481.654
3436425;-3.545.395;-5.826.794
3436426;-3.470.754;-5.851.826
3436427;-3.161.177;-6.000.605
3436428;-3.266.181;-5.873.673
3436429;-32.419;-5.950.191
3436430;-3.269.611;-5.876.582
3436431;-3.202.216;-5.901.489
3436432;-3.170.785;-5.828.456
3436433;-3.262.317;-5.870.512
3436434;-3.282.185;-5.923.926
3436435;-2.923.957;-5.851.387
3436436;-2.551.001;-582.552
3436437;-3.112.575;-5.991.464
3436438;-31.091;-5.982.017
3436439;-314.562;-5.959.826
3436440;-2.710.864;-5.904.587
3436441;-3.260.165;-5.918.786
3436442;-3.735.551;-5.907.522
3436443;-3.246.667;-5.886.667
3436444;-25.75;-5.786.667
3436445;-2.761.667;-5.553.333
3436446;-2.830.324;-5.913.921
3436447;-2.762.641;-5.811.782
3436448;-2.756.978;-5.468.262
3436449;-2.652.364;-5.882.144
3436450;-3.443.778;-5.920.887
3436451;-33.2;-59
3436452;-2.828.213;-5.643.858
3436453;-3.633.885;-569.114
3436454;-3.651.965;-5.668.937
3436455;-2.748.333;-5.668.333
3436456;-3.253.333;-5.948.333
3436457;-2.448.333;-5.946.667
3436458;-2.772.223;-5.880.689
3436459;-3.470.683;-5.877.787
3436460;-3.558.333;-5.766.667
3436461;-3.093.775;-5.803.775
3436462;-2.816.667;-58.2
3436463;-283.387;-5.799.569
3436464;-2.854.356;-5.613.924
3436465;-2.943.002;-5.816.193
3436466;-2.946.226;-5.816.251
3436467;-2.947.966;-5.802.595
3436468;-2.926.302;-5.853.268
3436469;-3.664.274;-5.709.915
3436470;-2.621.119;-5.461.497
3436471;-2.613.333;-54.45
3436472;-2.618.204;-5.464.428
3436473;-2.920.025;-5.745.302
3436474;-2.921.905;-574.304
3436475;-2.996.667;-59.55
3436476;-2.582.879;-5.952.008
3436477;-3.152.432;-590.007
3436478;-2.996.667;-5.956.667
3436479;-2.910.944;-5.658.607
3436480;-2.909.359;-5.664.445
3436481;-2.908.333;-56.6
3436482;-2.574.034;-5.792.837
3436483;-3.221.667;-59.85
3436484;-2.920.526;-5.780.158
3436485;-2.917.565;-5.784.281
3436486;-2.906.858;-5.779.082
3436487;-345.952;-5.848.138
3436488;-28.25;-5.956.667
3436489;-2.808.333;-59.8
3436490;-3.464.301;-5.935.917
3436491;-3.501.667;-58.05
3436492;-3.515.948;-589.865
3436493;-3.479.743;-5.839.405
3436494;-3.141.813;-5.927.421
3436495;-3.146.917;-5.927.646
3436496;-3.433.033;-5.913.036
3436497;-356.846;-5.795.452
3436498;-2.990.826;-5.795.894
3436499;-3.341.518;-5.960.609
3436500;-2.423.358;-5.971.411
3436501;-3.080.826;-5.933.366
3436502;-3.299.103;-5.945.371
3436503;-3.213.425;-5.909.706
3436504;-2.470.361;-5.961.776
3436505;-3.821.667;-5.783.333
3436506;-3.726.042;-5.962.311
3436507;-321.386;-5.938.227
3436508;-3.447.706;-5.850.177
3436509;-2.747.566;-5.484.182
3436510;-2.761.687;-5.484.858
3436511;-2.791.667;-5.763.333
3436512;-3.293.551;-5.824.408
3436513;-3.290.354;-5.824.161
3436514;-3.030.874;-5.941.446
3436515;-35.75;-5.756.667
3436516;-356.939;-5.769.031
3436517;-2.730.171;-5.794.564
3436518;-2.730.484;-5.787.571
3436519;-2.543.058;-5.841.723
3436520;-3.528.213;-5.880.487
3436521;-3.498.515;-5.808.922
3436522;-3.528.333;-5.811.667
3436523;-2.511.902;-5.814.473
3436524;-2.516.259;-5.805.435
3436525;-2.947.332;-5.695.774
3436526;-2.801.667;-5.558.333
3436527;-3.471.393;-5.835.697
3436528;-3.636.495;-5.775.655
3436555;-2.681.667;-5.833.333
3437080;-2.749.872;-5.675.193
3437596;-2.728.842;-5.860.778
3440708;-3.127.517;-5.793.803
3441986;-330.991;-5.824.878
3473330;-3.330.722;-59.64
3473360;-3.568.333;-5.796.667
3473361;-3.613.333;-5.726.667
3473362;-37.25;-5.733.333
3473363;-3.616.667;-5.691.667
3473364;-3.623.333;-5.691.667
3473367;-3.486.667;-5.791.667
3473368;-3.481.667;-57.95
3473369;-3.488.333;-5.796.667
3473370;-34.9;-5.798.333
3473371;-34.85;-5.808.333
3473372;-3.479.099;-5.815.556
3473373;-3.478.231;-5.817.087
3473374;-347.644;-5.820.847
3473375;-3.475.193;-5.823.393
3473376;-347.248;-5.826.074
3473377;-347.092;-5.828.068
3473378;-3.470.331;-5.829.612
3473379;-3.469.752;-5.831.113
3473380;-3.469.028;-5.831.667
3473381;-3.467.875;-58.35
3473382;-3.466.108;-583.762
3473383;-3.452.425;-5.847.297
3473384;-3.450.827;-5.848.049
3473385;-3.449.697;-5.848.907
3473386;-3.448.611;-5.849.861
3473387;-3.447.877;-585.047
3473388;-3.447.171;-5.851.359
3473389;-3.446.083;-5.852.679
3473390;-3.444.444;-5.856.667
3473391;-3.486.307;-5.789.222
3473393;-34.825;-5.796.667
3473394;-3.458.085;-5.837.193
3473395;-3.450.833;-5.848.333
3473396;-3.445.833;-58.5
3473397;-3.443.333;-58.55
3473398;-3.442.361;-5.858.333
3473399;-3.441.493;-5.856.906
3473400;-3.442.684;-5.855.185
3473401;-3.444.167;-58.55
3473402;-3.442.073;-5.851.031
3473403;-3.439.029;-5.853.354
3473404;-34.38;-5.859.349
3473405;-3.436.899;-5.859.239
3473406;-343.814;-5.856.955
3473407;-3.438.333;-5.853.333
3473408;-34.4;-5.851.667
3473771;-34.6;-58.375
3473772;-3.466.667;-5.833.333
3473773;-3.466.735;-5.829.936
3473774;-3.463.713;-5.810.763
3473775;-34.5;-5.838.333
3473776;-34.5;-5.884.167
3473777;-34.5;-5.884.167
3473778;-3.485.833;-5.786.667
3473779;-3.485.417;-5.785.833
3473780;-34.85;-5.786.667
3473781;-3.484.167;-57.9
3473782;-348.302;-579.104
3473783;-3.483.007;-5.791.088
3473784;-3.484.598;-5.791.035
3473785;-3.484.167;-57.925
3473786;-3.486.667;-57.9
3480709;-341.535;-5.885.513
3480710;-3.405.693;-5.856.666
3480711;-3.417.983;-5.888.973
3480712;-3.408.488;-5.883.296
3480713;-3.416.519;-5.868.084
3480714;-3.414.564;-5.868.093
3480715;-3.413.673;-5.865.068
3480716;-3.416.565;-5.864.267
3480717;-3.407.573;-585.897
3480718;-3.425.879;-586.627
3480719;-3.415.135;-5.855.302
3480720;-3.425.473;-5.854.324
3480721;-341.896;-5.849.614
3480722;-3.426.111;-5.841.944
3480723;-3.414.676;-5.898.982
3480724;-3.425.607;-5.888.573
3480725;-342.585;-5.868.579
3480726;-3.434.897;-5.856.586
3480727;-3.439.069;-5.878.828
3480728;-343.907;-587.877
3480729;-3.435.742;-5.873.775
3480730;-3.440.864;-58.772
3480731;-3.435.106;-5.896.151
3480732;-3.453.229;-5.897.032
3480733;-3.461.049;-5.871.924
3480734;-3.426.639;-5.849.028
3480735;-3.473.909;-5.896.711
3480737;-3.469.883;-5.890.562
3480738;-3.483.734;-5.849.138
3480739;-3.486.395;-5.878.439
3480740;-349.162;-5.838.111
3480742;-3.494.512;-5.871.558
3480743;-3.497.822;-5.867.418
3480744;-3.497.861;-5.896.667
3480745;-3.494.194;-582.275
3480746;-3.414.444;-5.896.583
3480747;-3.476.972;-589.275
3480748;-344.375;-5.890.556
3480749;-3.460.512;-5.893.923
3480750;-3.419.333;-5.860.944
3480751;-3.403.422;-5.861.763
3831703;-46;-67
3832041;-3.332.169;-7.000.657
3832042;-2.666.667;-6.526.667
3832043;-3.328.274;-6.436.794
3832044;-3.103.333;-6.411.667
3832045;-3.120.633;-6.147.713
3832046;-549.158;-6.461.128
3832047;-3.541.667;-60.1
3832048;-469.852;-6.718.185
3832049;-3.250.573;-625.561
3832050;-3.340.113;-635.166
3832051;-3.856.988;-6.141.846
3832052;-3.931.667;-6.283.333
3832053;-2.847.012;-6.650.651
3832054;-2.623.396;-6.656.627
3832055;-3.891.667;-6.228.333
3832056;-5.050.818;-7.210.686
3832057;-3.793.333;-71
3832058;-4.296.506;-6.500.647
3832059;-2.358.333;-6.526.667
3832060;-387.638;-6.076.135
3832061;-2.771.558;-6.136.538
3832062;-3.058.333;-6.956.667
3832063;-2.833.872;-6.496.456
3832064;-48.55;-6.813.333
3832065;-4.012.125;-6.556.724
3832066;-3.951.667;-64.75
3832067;-5.181.637;-7.193.975
3832068;-50.636;-6.948.102
3832069;-3.785.361;-6.864.139
3832070;-2.518.333;-6.466.667
3832071;-4.248.333;-67.7
3832072;-42.25;-6.653.333
3832073;-2.592.387;-6.579.832
3832074;-4.930.101;-6.942.897
3832075;-48.6;-6.746.667
3832076;-36.8;-6.946.667
3832077;-2.396.237;-6.062.143
3832078;-2.281.667;-63.2
3832079;-316.826;-6.889.938
3832080;-31.55;-6.873.333
3832081;-3.481.131;-6.851.413
3832082;-4.006.998;-7.062.539
3832083;-3.721.667;-6.193.333
3832084;-2.306.587;-6.506.242
3832085;-2.306.728;-6.483.935
3832086;-2.313.333;-6.501.667
3832087;-2.315.172;-6.513.473
3832088;-2.317.839;-6.501.909
3832089;-2.256.667;-6.478.333
3832090;-3.156.284;-618.983
3832091;-3.327.636;-6.507.633
3832092;-25.25;-61.05
3832093;-4.941.667;-68.55
3832094;-4.702.543;-7.169.918
3832095;-427.249;-6.601.255
3832096;-42.85;-7.148.333
3832097;-4.258.383;-7.027.631
3832098;-3.301.968;-6.087.955
3832099;-3.489.394;-6.100.604
3832100;-2.698.746;-6.591.846
3832101;-2.366.667;-65
3832102;-2.717.588;-662.016
3832103;-3.246.667;-6.041.667
3832104;-2.323.609;-6.492.896
3832105;-2.755.625;-6.677.959
3832106;-28.7;-69.1
3832107;-2.808.333;-69.25
3832108;-269.914;-6.696.885
3832109;-262.068;-6.536.331
3832110;-2.420.826;-6.507.526
3832111;-2.422.475;-6.506.605
3832112;-2.425.337;-6.514.623
3832113;-3.073.333;-7.011.667
3832114;-3.103.333;-68.85
3832115;-4.938.333;-6.833.333
3832116;-280.556;-6.732.686
3832117;-3.158.971;-6.031.085
3832118;-3.911.355;-704.235
3832119;-4.386.965;-7.039.519
3832120;-334.798;-6.897.905
3832121;-2.606.662;-6.056.045
3832122;-2.471.667;-6.496.667
3832123;-2.596.667;-6.518.333
3832124;-2.281.667;-64.9
3832125;-2.930.583;-6.866.734
3832126;-2.753.093;-6.619.548
3832127;-2.386.667;-6.258.333
3832129;-23;-6.731.667
3832130;-3.885.892;-7.007.277
3832131;-39;-6.983.333
3832132;-3.889.916;-7.005.442
3832133;-3.099.146;-6.772.831
3832134;-2.368.333;-6.456.667
3832135;-42.85;-7.161.667
3832136;-3.958.333;-62.6
3832137;-2.938.608;-637.348
3832138;-4.070.433;-6.345.645
3832139;-4.434.323;-6.555.748
3832140;-395.623;-62.74
3832141;-3.063.333;-6.808.333
3832142;-3.125.881;-6.768.572
3832143;-30.8;-6.806.667
3832144;-24.1;-6.478.333
3832145;-38.3;-6.016.667
3832146;-3.828.333;-6.011.667
3832147;-279.137;-6.425.119
3832148;-2.485.929;-6.444.921
3832149;-3.380.512;-6.641.623
3832150;-29.35;-6.351.667
3832151;-2.663.538;-6.368.689
3832152;-28.3;-6.553.333
3832153;-5.203.815;-686.864
3832154;-30.5;-6.571.667
3832155;-5.084.448;-7.222.845
3832156;-22.6;-63.6
3832157;-5.200.546;-6.870.211
3832158;-3.063.333;-6.516.667
3832159;-2.936.667;-65.8
3832160;-2.640.205;-6.463.154
3832161;-2.961.667;-69.95
3832162;-2.957.937;-6.987.653
3832163;-2.964.894;-6.972.924
3832164;-36.6;-7.106.667
3832165;-33.3;-6.718.333
3832166;-33.3;-6.716.667
3832167;-3.920.151;-694.725
3832168;-5.063.333;-7.278.333
3832169;-2.806.667;-6.918.333
3832170;-27.15;-6.166.667
3832171;-2.401.001;-6.003.307
3832172;-2.221.667;-63.55
3832173;-4.953.333;-69.15
3832174;-2.988.333;-6.746.667
3832175;-4.232.955;-700.469
3832176;-4.016.587;-7.026.381
3832177;-4.018.333;-7.023.333
3832178;-23.05;-6.353.333
3832179;-24.4;-6.178.333
3832180;-2.303.454;-6.355.048
3832181;-3.237.005;-6.080.734
3832182;-460.782;-6.957.525
3832183;-3.783.274;-6.251.697
3832184;-2.735.619;-6.630.478
3832185;-3.698.818;-6.313.343
3832186;-2.654.479;-6.629.072
3832187;-22.4;-6.538.333
3832188;-2.367.771;-6.448.264
3832189;-2.364.342;-6.447.194
3832190;-2.296.667;-6.206.667
3832191;-3.120.815;-6.448.491
3832192;-22.8;-63.3
3832193;-4.150.638;-6.975.651
3832194;-4.146.667;-69.8
3832195;-3.534.866;-6.231.397
3832196;-3.178.333;-7.028.333
3832197;-3.188.333;-70.3
3832198;-5.489.655;-6.734.053
3832199;-318.101;-70.31
3832200;-2.352.401;-6.661.686
3832201;-2.348.361;-6.660.476
3832202;-43.2;-70.05
3832203;-4.025.578;-7.012.868
3832204;-3.821.667;-7.063.333
3832205;-38.15;-7.071.667
3832206;-30.3;-6.796.667
3832207;-268.565;-6.553.883
3832208;-2.834.005;-6.415.159
3832209;-2.738.506;-6.552.396
3832210;-2.913.333;-68.7
3832211;-2.632.555;-6.390.152
3832212;-2.777.835;-6.297.573
3832213;-2.343.662;-6.414.043
3832214;-2.371.667;-63.85
3832215;-2.313.333;-6.388.333
3832216;-2.538.333;-6.378.333
3832217;-2.345.556;-6.414.762
3832218;-4.244.164;-6.443.085
3832219;-3.026.667;-6.403.333
3832220;-2.220.846;-6.604.229
3832221;-2.216.608;-6.602.477
3832222;-5.482.759;-6.427.963
3832223;-3.651.667;-7.011.667
3832224;-3.086.859;-6.436.083
3832225;-47.9;-7.213.333
3832226;-3.144.609;-6.436.448
3832227;-2.841.913;-6.562.638
3832228;-3.038.094;-676.845
3832229;-3.133.648;-6.905.872
3832230;-4.682.987;-6.993.584
3832231;-2.898.333;-62.65
3832232;-3.651.667;-6.996.667
3832233;-356.113;-701.792
3832234;-2.886.667;-68.2
3832235;-315.445;-704.153
3832236;-3.593.242;-700.214
3832237;-25.05;-6.443.333
3832238;-3.622.724;-6.986.202
3832239;-3.554.596;-7.022.267
3832240;-3.220.992;-7.004.109
3832241;-3.163.333;-70.45
3832242;-22.2;-65.9
3832243;-347.629;-6.973.913
3832244;-3.522.913;-7.022.379
3832245;-3.031.193;-672.605
3832246;-2.591.667;-65.7
3832247;-3.403.466;-6.963.584
3832248;-333.503;-6.963.047
3832249;-2.876.667;-65.3
3832250;-4.073.333;-7.098.333
3832251;-362.575;-6.013.839
3832252;-361.839;-60.064
3832253;-2.977.267;-6.891.647
3832254;-297.025;-6.894.266
3832255;-22.75;-66.1
3832256;-2.351.205;-6.495.961
3832257;-3.127.982;-6.538.418
3832258;-3.124.735;-6.536.849
3832259;-2.900.592;-6.546.232
3832260;-2.681.667;-6.531.667
3832261;-2.378.195;-6.506.327
3832262;-220.926;-6.367.896
3832263;-2.433.492;-6.132.412
3832264;-5.441.667;-6.768.333
3832265;-3.334.909;-6.830.789
3832266;-3.094.578;-6.509.677
3832267;-3.791.764;-6.909.763
3832268;-3.321.624;-6.947.607
3832269;-3.723.979;-706.329
3832270;-3.573.333;-68.35
3832271;-3.564.138;-6.885.173
3832272;-3.152.405;-6.159.376
3832273;-2.883.333;-64.4
3832274;-5.039.853;-6.894.805
3832275;-2.823.333;-68.6
3832276;-4.642.151;-7.025.852
3832277;-3.971.524;-7.083.612
3832278;-4.886.667;-6.978.333
3832279;-4.928.333;-7.096.667
3832280;-3.886.667;-61
3832281;-4.701.735;-6.888.321
3832282;-3.227.511;-6.460.931
3832283;-2.211.667;-6.508.333
3832284;-22.1;-6.546.667
3832285;-22.2;-6.546.667
3832286;-2.211.984;-6.550.751
3832287;-22.3;-65.6
3832288;-2.213.333;-6.546.667
3832289;-3.419.019;-6.918.055
3832290;-3.376.324;-6.904.407
3832291;-5.009.655;-7.022.053
3832292;-25.55;-6.486.667
3832293;-2.559.382;-6.494.419
3832294;-25.6;-6.503.333
3832295;-3.180.703;-6.468.465
3832296;-31.85;-6.473.333
3832297;-3.181.667;-6.476.667
3832298;-2.647.067;-6.583.308
3832299;-2.798.333;-63.95
3832300;-2.808.333;-6.396.667
3832301;-2.543.822;-6.583.045
3832302;-2.240.807;-6.378.605
3832303;-2.261.667;-6.588.333
3832304;-22.25;-6.608.333
3832305;-24.45;-6.551.667
3832306;-2.922.346;-6.986.199
3832307;-3.068.333;-7.016.667
3832308;-3.286.725;-6.917.031
3832309;-2.396.667;-65.95
3832310;-3.300.897;-6.452.107
3832311;-3.778.031;-6.106.414
3832312;-2.628.096;-6.503.682
3832313;-26.4;-6.521.667
3832314;-2.378.333;-6.516.667
3832315;-23.75;-6.521.667
3832316;-2.793.333;-6.536.667
3832317;-2.453.333;-6.488.333
3832318;-2.459.093;-6.475.698
3832319;-3.731.551;-6.150.228
3832320;-2.684.331;-6.605.664
3832321;-3.930.591;-7.061.766
3832322;-2.988.963;-6.855.223
3832323;-294.701;-6.856.745
3832324;-402.837;-6.963.717
3832325;-3.935.284;-705.908
3832326;-2.765.577;-6.566.789
3832327;-2.790.469;-6.423.341
3832328;-28.9;-6.358.333
3832329;-2.760.931;-6.518.756
3832330;-2.438.333;-6.466.667
3832331;-23.95;-6.413.333
3832332;-3.139.358;-6.066.273
3832333;-3.221.483;-692.289
3832334;-321.221;-6.940.121
3832335;-3.248.157;-696.655
3832336;-3.213.253;-6.933.154
3832337;-321.351;-6.944.928
3832338;-2.236.667;-63.95
3832339;-2.746.578;-6.505.168
3832340;-2.868.333;-61.85
3832341;-2.821.743;-6.363.594
3832342;-2.411.655;-6.540.164
3832343;-2.410.459;-65.481
3832344;-2.341.667;-65.2
3832345;-2.412.549;-6.539.908
3832346;-28.7;-6.311.667
3832347;-3.401.714;-6.930.753
3832348;-2.353.333;-65.55
3832349;-25.55;-6.426.667
3832350;-2.876.667;-63.2
3832351;-2.238.333;-6.386.667
3832352;-2.238.333;-6.391.667
3832353;-2.236.938;-6.375.588
3832354;-2.556.501;-6.598.618
3832355;-25.55;-6.606.667
3832356;-3.961.667;-6.381.667
3832357;-220.683;-6.368.401
3832358;-2.750.701;-6.650.658
3832359;-29.35;-63.3
3832360;-29.4;-6.713.333
3832361;-2.737.054;-6.521.529
3832362;-28.9;-6.313.333
3832363;-29.3;-67.15
3832364;-2.717.732;-6.562.131
3832365;-28.6;-6.403.333
3832366;-2.858.333;-6.383.333
3832367;-2.848.333;-64.3
3832368;-3.291.667;-65.75
3832369;-2.338.791;-6.533.965
3832370;-2.461.667;-65.45
3832371;-3.021.667;-6.246.667
3832372;-2.516.039;-6.553.575
3832373;-260.521;-659.096
3832374;-3.892.527;-6.204.751
3832375;-3.137.224;-641.736
3832376;-5.157.321;-723.508
3832377;-2.298.333;-6.381.667
3832378;-2.276.667;-6.393.333
3832379;-2.834.501;-6.032.098
3832380;-234.135;-6.371.295
3832381;-2.381.667;-6.266.667
3832382;-2.308.333;-63.85
3832383;-3.204.072;-6.503.893
3832384;-2.838.333;-63.4
3832385;-2.813.333;-63.8
3832386;-4.923.693;-6.775.222
3832387;-392.018;-6.215.697
3832388;-3.622.643;-6.423.388
3832389;-43.6;-6.791.667
3832390;-5.486.149;-681.918
3832391;-4.366.623;-7.133.267
3832392;-4.450.069;-6.537.461
3832393;-4.534.564;-6.714.847
3832394;-319.447;-6.140.124
3832395;-2.529.688;-6.090.314
3832396;-246.835;-6.539.114
3832397;-3.379.039;-6.120.888
3832398;-3.317.303;-6.277.078
3832399;-4.660.015;-6.904.234
3832400;-2.732.106;-6.258.626
3832401;-4.996.667;-68.55
3832402;-4.996.667;-6.856.667
3832403;-5.485.594;-6.422.007
3832404;-3.494.061;-6.431.056
3832405;-49.35;-68.05
3832406;-3.387.713;-6.468.804
3832407;-5.487.473;-6.746.515
3832408;-3.918.333;-6.496.667
3832409;-2.551.494;-6.060.402
3832410;-3.491.667;-6.051.667
3832411;-3.491.065;-6.053.523
3832412;-5.483.817;-6.825.591
3832413;-4.062.816;-6.232.484
3832414;-4.705.974;-6.908.458
3832415;-3.666.667;-6.171.667
3832416;-4.122.628;-7.183.468
3832417;-3.685.475;-6.972.228
3832418;-4.940.677;-7.272.954
3832419;-5.362.027;-6.803.758
3832420;-35.75;-6.721.667
3832421;-3.164.442;-6.067.794
3832422;-2.341.667;-6.246.667
3832423;-3.215.369;-7.026.715
3832424;-3.534.316;-677.945
3832425;-30.85;-64.85
3832426;-278.127;-6.801.618
3832427;-3.258.333;-6.591.667
3832428;-455.474;-6.928.843
3832429;-3.744.827;-6.066.762
3832430;-3.488.333;-6.261.667
3832431;-3.456.923;-7.001.939
3832432;-4.679.514;-7.110.577
3832433;-4.127.346;-7.183.687
3832434;-40.9;-66.2
3832435;-4.703.131;-712.245
3832436;-2.538.333;-6.503.333
3832437;-2.885.837;-6.774.461
3832438;-2.987.832;-6.901.558
3832439;-2.378.333;-6.516.667
3832440;-3.226.801;-7.006.612
3832441;-2.989.197;-6.896.394
3832442;-22.6;-6.423.333
3832443;-2.392.379;-6.547.441
3832444;-4.778.397;-722.523
3832445;-2.325.114;-6.613.227
3832446;-2.605.753;-6.547.384
3832447;-4.512.856;-6.865.838
3832448;-41.05;-7.078.333
3832449;-2.578.333;-65.95
3832450;-4.666.022;-7.079.046
3832451;-2.779.779;-6.843.977
3832452;-4.903.333;-6.866.667
3832453;-2.373.333;-6.491.667
3832454;-2.281.667;-65.8
3832455;-232.674;-6.613.473
3832456;-2.391.709;-6.546.623
3832457;-3.079.177;-6.910.304
3832458;-51.35;-7.231.667
3832459;-4.110.215;-7.157.468
3832460;-3.996.667;-6.463.333
3832461;-2.755.926;-6.683.855
3832462;-2.258.333;-65.2
3832463;-28.8;-6.458.333
3832464;-32.15;-65.9
3832465;-3.216.667;-65.9
3832466;-3.036.864;-6.071.593
3832467;-2.441.667;-6.178.333
3832468;-2.531.667;-6.468.333
3832469;-2.519.982;-6.732.824
3832470;-2.417.341;-6.616.106
3832471;-2.265.966;-6.613.544
3832472;-22.9;-6.528.333
3832473;-2.208.333;-66.2
3832474;-2.378.333;-65.65
3832475;-2.241.667;-6.633.333
3832476;-5.101.172;-724.892
3832477;-30.95;-69.75
3832478;-5.058.865;-718.496
3832479;-3.591.667;-68.5
3832480;-2.213.333;-6.513.333
3832481;-2.211.667;-6.513.333
3832482;-2.973.951;-6.894.053
3832483;-23;-65
3832484;-3.896.667;-6.183.333
3832485;-4.488.442;-6.926.231
3832486;-2.985.025;-672.357
3832487;-3.423.333;-6.283.333
3832488;-31.2;-6.343.333
3832489;-3.694.453;-6.569.234
3832490;-4.293.521;-6.503.984
3832491;-472.033;-7.026.422
3832492;-4.521.563;-7.074.129
3832493;-4.487.515;-697.128
3832494;-4.649.461;-67.689
3832495;-4.709.374;-6.965.309
3832496;-3.214.202;-6.210.036
3832497;-4.612.866;-677.663
3832498;-4.736.667;-7.083.333
3832499;-4.660.986;-6.988.584
3832500;-4.726.359;-7.138.872
3832501;-3.931.842;-7.051.987
3832502;-28.4;-6.451.667
3832503;-2.803.333;-65.3
3832504;-5.090.547;-7.031.055
3832505;-4.115.895;-701.591
3832506;-3.099.554;-6.270.518
3832507;-4.003.333;-6.253.333
3832508;-2.742.492;-665.269
3832509;-3.301.667;-6.888.333
3832510;-3.582.274;-6.808.752
3832511;-3.366.246;-6.913.332
3832512;-3.365.064;-6.915.424
3832513;-2.803.333;-6.526.667
3832514;-3.963.388;-702.674
3832515;-4.711.269;-6.980.525
3832516;-4.545.896;-6.820.825
3832517;-3.875.627;-6.815.704
3832518;-38.75;-6.818.333
3832519;-3.603.971;-6.735.491
3832520;-4.015.353;-6.968.542
3832521;-3.086.667;-62.35
3832522;-3.230.006;-6.705.681
3832523;-4.561.987;-6.746.542
3832524;-4.540.803;-6.712.156
3832525;-3.838.333;-65.9
3832526;-28.15;-6.363.333
3832527;-2.796.667;-60.45
3832528;-24.9;-6.568.333
3832529;-2.223.333;-6.466.667
3832530;-330.904;-6.611.236
3832531;-3.308.697;-6.614.779
3832532;-26.75;-6.481.667
3832533;-3.073.909;-6.134.094
3832534;-3.596.667;-68.5
3832535;-2.508.745;-6.498.908
3832536;-2.668.333;-6.611.667
3832537;-5.233.413;-6.835.396
3832538;-2.891.667;-65.5
3832539;-5.234.029;-6.833.277
3832540;-2.781.684;-6.632.676
3832541;-3.116.667;-6.748.333
3832542;-31.8;-66.05
3832543;-2.642.296;-6.088.258
3832544;-5.081.983;-7.222.804
3832545;-4.376.667;-7.173.333
3832546;-3.974.619;-7.121.541
3832547;-4.515.585;-6.848.435
3832548;-265.322;-6.521.751
3832549;-2.504.933;-6.519.634
3832550;-2.648.072;-6.534.582
3832551;-2.484.585;-6.423.672
3832552;-4.715.302;-674.864
3832553;-2.814.781;-6.727.701
3832554;-2.810.502;-6.720.155
3832555;-2.876.308;-6.712.429
3832556;-285.427;-6.715.428
3832557;-54.7;-68.35
3832558;-4.088.333;-63.3
3832559;-2.983.333;-6.828.333
3832560;-2.875.964;-6.820.692
3832561;-2.944.734;-6.697.082
3832562;-2.396.667;-62.85
3832563;-2.737.746;-6.479.947
3832564;-25.7;-63.7
3832565;-2.653.333;-6.363.333
